,0
0,9
1,0
2,5
3,6
4,3
5,7
6,7
7,6
8,9
9,4
10,4
11,8
12,6
13,5
14,5
15,7
16,0
17,5
18,0
19,2
20,3
21,6
22,5
23,5
24,5
25,4
26,8
27,5
28,8
29,4
30,6
31,2
32,5
33,7
34,3
35,0
36,8
37,3
38,0
39,2
40,6
41,5
42,8
43,9
44,8
45,1
46,8
47,8
48,3
49,5
50,4
51,6
52,0
53,1
54,8
55,9
56,8
57,8
58,5
59,6
60,3
61,6
62,6
63,5
64,8
65,6
66,5
67,0
68,3
69,8
70,3
71,8
72,5
73,0
74,8
75,8
76,3
77,8
78,2
79,5
80,1
81,0
82,1
83,4
84,2
85,4
86,3
87,4
88,3
89,0
90,4
91,6
92,5
93,5
94,2
95,8
96,2
97,5
98,6
99,7
100,1
101,2
102,9
103,9
104,6
105,4
106,7
107,9
108,4
109,0
110,1
111,3
112,5
113,0
114,2
115,1
116,4
117,5
118,1
119,6
120,8
121,4
122,3
123,5
124,1
125,7
126,6
127,4
128,6
129,0
130,6
131,6
132,2
133,3
134,7
135,8
136,7
137,2
138,3
139,6
140,5
141,6
142,4
143,9
144,1
145,8
146,6
147,5
148,0
149,8
150,5
151,3
152,3
153,3
154,1
155,6
156,9
157,9
158,2
159,0
160,8
161,5
162,7
163,5
164,6
165,7
166,5
167,0
168,2
169,6
170,2
171,5
172,1
173,8
174,0
175,3
176,6
177,9
178,1
179,9
180,3
181,6
182,8
183,6
184,4
185,5
186,7
187,3
188,5
189,8
190,6
191,6
192,6
193,0
194,3
195,9
196,5
197,5
198,6
199,4
200,0
201,8
202,2
203,7
204,4
205,3
206,5
207,8
208,7
209,2
210,8
211,9
212,3
213,4
214,8
215,5
216,0
217,4
218,5
219,4
220,4
221,1
222,2
223,3
224,6
225,8
226,8
227,9
228,0
229,0
230,6
231,5
232,2
233,8
234,1
235,5
236,2
237,3
238,3
239,2
240,7
241,3
242,7
243,8
244,2
245,6
246,3
247,4
248,6
249,9
250,5
251,7
252,5
253,3
254,3
255,9
256,8
257,1
258,0
259,2
260,8
261,9
262,8
263,9
264,9
265,7
266,4
267,7
268,4
269,7
270,4
271,4
272,5
273,7
274,6
275,6
276,9
277,4
278,6
279,3
280,7
281,7
282,5
283,3
284,6
285,7
286,3
287,2
288,8
289,4
290,7
291,3
292,4
293,2
294,9
295,4
296,0
297,5
298,5
299,4
300,8
301,5
302,4
303,3
304,8
305,2
306,1
307,6
308,7
309,2
310,6
311,3
312,6
313,1
314,8
315,6
316,2
317,1
318,4
319,3
320,9
321,4
322,6
323,7
324,6
325,4
326,2
327,8
328,0
329,9
330,9
331,7
332,3
333,6
334,3
335,6
336,0
337,5
338,7
339,8
340,5
341,6
342,4
343,7
344,4
345,9
346,3
347,8
348,6
349,5
350,8
351,0
352,1
353,6
354,9
355,6
356,4
357,6
358,5
359,4
360,5
361,4
362,3
363,1
364,8
365,6
366,3
367,6
368,8
369,0
370,4
371,3
372,1
373,3
374,8
375,6
376,6
377,0
378,2
379,9
380,6
381,6
382,0
383,9
384,8
385,2
386,9
387,7
388,9
389,4
390,8
391,5
392,3
393,7
394,7
395,5
396,8
397,7
398,6
399,1
400,0
401,3
402,5
403,8
404,9
405,7
406,2
407,5
408,2
409,5
410,8
411,5
412,5
413,8
414,9
415,6
416,9
417,3
418,4
419,2
420,1
421,2
422,5
423,0
424,5
425,4
426,1
427,7
428,2
429,1
430,2
431,7
432,2
433,6
434,2
435,0
436,5
437,6
438,2
439,8
440,6
441,4
442,0
443,6
444,2
445,6
446,9
447,5
448,0
449,4
450,6
451,5
452,7
453,8
454,3
455,9
456,4
457,3
458,4
459,7
460,5
461,4
462,6
463,9
464,9
465,3
466,9
467,8
468,0
469,4
470,5
471,7
472,3
473,5
474,7
475,5
476,8
477,7
478,5
479,9
480,5
481,2
482,5
483,0
484,6
485,2
486,6
487,9
488,0
489,9
490,0
491,2
492,9
493,3
494,0
495,9
496,4
497,8
498,0
499,1
500,8
501,4
502,3
503,7
504,3
505,5
506,2
507,4
508,6
509,3
510,1
511,6
512,4
513,5
514,8
515,9
516,6
517,3
518,6
519,0
520,6
521,9
522,9
523,6
524,5
525,6
526,4
527,6
528,5
529,6
530,1
531,6
532,3
533,3
534,3
535,3
536,7
537,6
538,2
539,7
540,6
541,8
542,3
543,6
544,1
545,5
546,5
547,9
548,2
549,0
550,5
551,8
552,1
553,6
554,5
555,7
556,4
557,5
558,5
559,7
560,0
561,5
562,2
563,8
564,3
565,4
566,3
567,2
568,4
569,2
570,2
571,0
572,7
573,3
574,4
575,5
576,2
577,4
578,5
579,5
580,2
581,5
582,5
583,4
584,0
585,5
586,2
587,7
588,8
589,8
590,5
591,6
592,5
593,4
594,1
595,6
596,3
597,5
598,0
599,5
600,7
601,5
602,9
603,9
604,7
605,3
606,2
607,0
608,9
609,0
610,9
611,2
612,7
613,8
614,2
615,7
616,9
617,5
618,3
619,6
620,0
621,6
622,5
623,8
624,6
625,5
626,5
627,8
628,5
629,9
630,5
631,7
632,9
633,5
634,3
635,8
636,7
637,6
638,0
639,1
640,9
641,7
642,0
643,9
644,6
645,6
646,6
647,2
648,1
649,5
650,5
651,2
652,5
653,6
654,7
655,6
656,8
657,9
658,6
659,2
660,5
661,7
662,4
663,6
664,5
665,4
666,9
667,7
668,0
669,6
670,4
671,2
672,1
673,1
674,5
675,0
676,7
677,0
678,4
679,0
680,6
681,9
682,1
