,0
0,8
1,4
2,7
3,6
4,5
5,9
6,1
7,8
8,3
9,9
10,3
11,5
12,6
13,4
14,5
15,4
16,5
17,6
18,4
19,3
20,6
21,1
22,7
23,0
24,5
25,0
26,7
27,3
28,7
29,4
30,4
31,9
32,2
33,7
34,5
35,5
36,3
37,1
38,6
39,1
40,7
41,9
42,8
43,3
44,6
45,7
46,7
47,4
48,8
49,5
50,3
51,5
52,1
53,9
54,4
55,8
56,8
57,8
58,6
59,6
60,7
61,1
62,2
63,4
64,9
65,0
66,9
67,1
68,4
69,9
70,8
71,3
72,7
73,8
74,0
75,7
76,1
77,8
78,3
79,1
80,4
81,6
82,5
83,8
84,6
85,9
86,0
87,5
88,4
89,7
90,9
91,9
92,9
93,3
94,5
95,9
96,2
97,0
98,2
99,2
100,8
101,7
102,6
103,8
104,6
105,1
106,1
107,2
108,2
109,8
110,5
111,3
112,4
113,8
114,7
115,1
116,7
117,6
118,7
119,9
120,3
121,2
122,2
123,4
124,3
125,2
126,3
127,3
128,2
129,5
130,2
131,4
132,0
133,7
134,8
135,6
136,4
137,6
138,4
139,6
140,6
141,7
142,0
143,0
144,9
145,9
146,1
147,1
148,3
149,5
150,0
151,4
152,5
153,0
154,7
155,4
156,2
157,9
158,8
159,5
160,7
161,7
162,5
163,3
164,1
165,6
166,8
167,6
168,8
169,4
170,9
171,8
172,0
173,9
174,4
175,7
176,8
177,3
178,2
179,3
180,0
181,6
182,9
183,5
184,3
185,0
186,1
187,3
188,7
189,5
190,1
191,0
192,6
193,5
194,8
195,1
196,1
197,9
198,9
199,3
200,4
201,5
202,4
203,5
204,2
205,2
206,3
207,2
208,7
209,7
210,4
211,8
212,7
213,2
214,4
215,2
216,1
217,8
218,1
219,3
220,8
221,6
222,4
223,9
224,0
225,1
226,4
227,5
228,8
229,3
230,7
231,9
232,7
233,6
234,8
235,8
236,6
237,9
238,4
239,5
240,5
241,0
242,6
243,9
244,3
245,9
246,0
247,2
248,7
249,4
250,0
251,0
252,5
253,5
254,5
255,7
256,7
257,9
258,6
259,8
260,5
261,4
262,6
263,5
264,8
265,5
266,6
267,0
268,9
269,0
270,7
271,0
272,5
273,4
274,3
275,5
276,0
277,1
278,3
279,8
280,4
281,8
282,9
283,5
284,6
285,9
286,3
287,9
288,1
289,9
290,6
291,3
292,8
293,7
294,3
295,6
296,6
297,9
298,4
299,1
300,9
301,4
302,2
303,3
304,3
305,9
306,9
307,3
308,0
309,6
310,7
311,2
312,3
313,1
314,1
315,5
316,7
317,1
318,3
319,1
320,8
321,9
322,7
323,2
324,9
325,1
326,8
327,8
328,0
329,5
330,4
331,1
332,3
333,2
334,7
335,0
336,6
337,8
338,8
339,1
340,5
341,4
342,9
343,0
344,6
345,4
346,0
347,0
348,1
349,5
350,4
351,7
352,2
353,7
354,7
355,7
356,1
357,9
358,3
359,5
360,8
361,5
362,7
363,5
364,6
365,2
366,6
367,0
368,1
369,7
370,4
371,5
372,0
373,9
374,8
375,8
376,7
377,2
378,7
379,4
380,2
381,7
382,1
383,7
384,6
385,0
386,8
387,7
388,6
389,3
390,2
391,8
392,4
393,5
394,6
395,7
396,3
397,6
398,4
399,7
400,1
401,0
402,4
403,5
404,2
405,9
406,4
407,2
408,1
409,5
410,9
411,7
412,3
413,3
414,7
415,5
416,3
417,4
418,2
419,5
420,2
421,6
422,0
423,3
424,3
425,1
426,7
427,0
428,2
429,8
430,3
431,6
432,5
433,6
434,0
435,7
436,7
437,6
438,6
439,6
440,8
441,7
442,7
443,4
444,5
445,5
446,9
447,5
448,7
449,2
450,1
451,3
452,2
453,9
454,5
455,1
456,3
457,1
458,7
459,2
460,9
461,7
462,1
463,4
464,7
465,2
466,0
467,9
468,1
469,0
470,5
471,1
472,5
473,4
474,2
475,3
476,6
477,3
478,3
479,1
480,3
481,5
482,6
483,7
484,8
485,7
486,1
487,2
488,5
489,6
490,5
491,4
492,7
493,7
494,1
495,0
496,3
497,4
498,4
499,1
500,9
501,5
502,2
503,9
504,8
505,4
506,7
507,7
508,2
509,3
510,2
511,2
512,8
513,6
514,1
515,9
516,5
517,0
518,7
519,6
520,5
521,9
522,0
523,0
524,3
525,5
526,0
527,2
528,3
529,6
530,3
531,6
532,4
533,0
534,7
535,2
536,7
537,7
538,9
539,6
540,5
541,0
542,8
543,0
544,9
545,2
546,7
547,4
548,3
549,8
550,8
551,2
552,0
553,5
554,1
555,5
556,2
557,8
558,0
559,7
560,1
561,3
562,9
563,4
564,6
565,2
566,7
567,9
568,6
569,8
570,3
571,6
572,7
573,7
574,0
575,8
576,2
577,0
578,0
579,7
580,6
581,8
582,8
583,4
584,0
585,7
586,0
587,8
588,0
589,0
590,7
591,7
592,2
593,4
594,2
595,6
596,7
597,5
598,5
599,9
600,5
601,8
602,8
603,8
604,9
605,3
606,7
607,4
608,6
609,3
610,3
611,7
612,4
613,7
614,7
615,9
616,8
617,5
618,9
619,3
620,2
621,5
622,9
623,1
624,0
625,8
626,9
627,9
628,9
629,2
630,2
631,0
632,4
633,6
634,5
635,4
636,5
637,7
638,8
639,8
640,7
641,6
642,2
643,4
644,0
645,6
646,8
647,7
648,0
649,0
650,5
651,5
652,3
653,5
654,7
655,0
656,0
657,0
658,4
659,4
660,5
661,5
