,0
0,8
1,8
2,8
3,5
4,2
5,8
6,6
7,7
8,1
9,0
10,7
11,7
12,4
13,9
14,0
15,9
16,8
17,9
18,5
19,5
20,3
21,9
22,0
23,3
24,2
25,6
26,4
27,0
28,7
29,0
30,3
31,0
32,7
33,1
34,2
35,1
36,1
37,7
38,1
39,3
40,2
41,6
42,9
43,2
44,8
45,8
46,6
47,0
48,7
49,9
50,3
51,1
52,9
53,2
54,5
55,5
56,1
57,4
58,5
59,7
60,8
61,6
62,3
63,1
64,4
65,2
66,8
67,9
68,3
69,6
70,9
71,0
72,7
73,0
74,1
75,4
76,3
77,8
78,0
79,4
80,3
81,2
82,1
83,5
84,2
85,4
86,3
87,9
88,8
89,8
90,5
91,6
92,1
93,2
94,4
95,9
96,4
97,3
98,1
99,6
100,4
101,1
102,2
103,5
104,6
105,5
106,6
107,9
108,6
109,4
110,5
111,5
112,4
113,7
114,1
115,5
116,9
117,7
118,8
119,4
120,4
121,3
122,1
123,5
124,0
125,9
126,4
127,5
128,3
129,0
130,9
131,3
132,1
133,0
134,1
135,9
136,4
137,0
138,8
139,9
140,7
141,1
142,0
143,5
144,3
145,0
146,6
147,3
148,6
149,6
150,6
151,1
152,9
153,3
154,8
155,9
156,8
157,2
158,6
159,7
160,5
161,3
162,3
163,5
164,6
165,2
166,9
167,7
168,1
169,3
170,2
171,0
172,0
173,5
174,9
175,9
176,0
177,3
178,9
179,4
180,2
181,7
182,0
183,3
184,4
185,6
186,0
187,4
188,4
189,0
190,9
191,7
192,0
193,2
194,0
195,6
196,8
197,7
198,0
199,7
200,0
201,4
202,6
203,8
204,6
205,2
206,8
207,4
208,9
209,4
210,9
211,4
212,9
213,7
214,5
215,8
216,7
217,3
218,5
219,0
220,2
221,1
222,4
223,6
224,5
225,2
226,1
227,5
228,5
229,3
230,4
231,5
232,3
233,0
234,4
235,3
236,2
237,7
238,4
239,4
240,8
241,3
242,4
243,1
244,1
245,0
246,5
247,1
248,6
249,5
250,7
251,7
252,2
253,5
254,0
255,9
256,3
257,4
258,6
259,3
260,2
261,8
262,2
263,4
264,4
265,1
266,4
267,2
268,1
269,3
270,4
271,9
272,8
273,8
274,3
275,5
276,7
277,0
278,9
279,1
280,6
281,1
282,7
283,4
284,1
285,8
286,2
287,5
288,1
289,3
290,4
291,5
292,5
293,2
294,6
295,6
296,3
297,0
298,0
299,9
300,0
301,8
302,5
303,6
304,1
305,8
306,0
307,1
308,4
309,0
310,8
311,3
312,6
313,1
314,1
315,9
316,4
317,5
318,8
319,4
320,0
321,2
322,4
323,2
324,0
325,0
326,7
327,2
328,1
329,2
330,8
331,2
332,3
333,7
334,8
335,8
336,2
337,7
338,5
339,3
340,6
341,7
