,0
0,8
1,4
2,8
3,1
4,9
5,6
6,0
7,6
8,8
9,8
10,2
11,2
12,8
13,1
14,2
15,1
16,9
17,0
18,6
19,3
20,2
21,6
22,8
23,2
24,4
25,8
26,1
27,0
28,3
29,9
30,9
31,6
32,0
33,0
34,5
35,9
36,1
37,6
38,4
39,4
40,0
41,4
42,6
43,7
44,5
45,5
46,0
47,5
48,4
49,1
50,1
51,0
52,8
53,0
54,4
55,7
56,7
57,8
58,7
59,8
60,9
61,1
62,1
63,0
64,6
65,2
66,7
67,6
68,8
69,9
70,3
71,8
72,7
73,6
74,2
75,3
76,7
77,0
78,7
79,4
80,1
81,8
82,7
83,0
84,6
85,2
86,7
87,3
88,2
89,3
90,4
91,6
92,1
93,6
94,6
95,0
96,3
97,2
98,6
99,3
100,8
101,2
102,6
103,2
104,3
105,2
106,8
107,1
108,2
109,1
110,4
111,2
112,7
113,1
114,1
115,6
116,6
117,3
118,2
119,6
120,3
121,0
122,7
123,4
124,6
125,1
126,2
127,7
128,8
129,0
130,3
131,2
132,1
133,8
134,0
135,4
136,2
137,2
138,7
139,9
140,5
141,3
142,1
143,6
144,9
145,2
146,5
147,4
148,5
149,5
150,1
151,3
152,4
153,0
154,2
155,6
156,6
157,4
158,7
159,6
160,5
161,9
162,6
163,2
164,9
165,9
166,6
167,0
168,1
169,7
170,3
171,5
172,2
173,4
174,3
175,0
176,7
177,7
178,2
179,0
180,5
181,6
182,1
183,3
184,4
185,0
186,7
187,4
188,9
189,2
190,3
191,1
192,3
193,3
194,1
195,7
196,3
197,8
198,9
199,5
200,7
201,7
202,8
203,3
204,5
205,0
206,7
207,2
208,5
209,6
210,8
211,0
212,0
213,6
214,6
215,9
216,0
217,3
218,5
219,2
220,8
221,1
222,3
223,4
224,8
225,3
226,1
227,3
228,5
229,9
230,7
231,7
232,4
233,4
234,3
235,1
236,4
237,4
238,0
239,1
240,4
241,8
242,0
243,4
244,9
245,3
246,7
247,4
248,4
249,9
250,9
251,8
252,9
253,8
254,7
255,7
256,2
257,5
258,7
259,9
260,4
261,4
262,8
263,9
264,2
265,4
266,0
267,1
268,8
269,1
270,9
271,3
272,6
273,1
274,8
275,0
276,1
277,8
278,6
279,8
280,6
281,2
282,7
283,1
284,8
285,2
286,1
287,8
288,7
289,8
290,3
291,3
292,1
293,4
294,8
295,1
296,0
297,3
298,3
299,1
300,3
301,8
302,6
303,7
304,8
305,0
306,9
307,3
308,6
309,4
310,5
311,6
312,7
313,8
314,5
315,2
316,8
317,5
318,9
319,9
320,4
321,8
322,3
323,2
324,1
325,3
326,5
327,6
328,7
329,0
330,3
331,5
332,0
333,7
334,9
335,6
336,3
337,9
338,8
339,1
340,2
341,0
342,6
343,0
344,4
345,8
346,3
347,3
348,8
349,9
350,2
351,9
352,2
353,5
354,4
355,0
356,4
357,1
358,0
359,1
360,6
361,8
362,0
363,8
364,5
365,7
366,3
367,6
368,9
369,2
370,6
371,8
372,3
373,4
374,1
375,6
376,0
377,0
378,2
379,4
380,0
381,0
382,1
383,9
384,1
385,4
386,6
387,2
388,3
389,7
390,5
391,4
392,3
393,4
394,3
395,6
396,0
397,4
398,3
399,5
400,9
401,0
402,6
403,4
404,8
405,7
406,0
407,3
408,3
409,3
410,6
411,8
412,0
413,8
414,6
415,6
416,6
417,6
418,0
419,9
420,3
421,5
422,5
423,4
424,4
425,2
426,4
427,4
428,8
429,9
430,6
431,3
432,7
433,9
434,3
435,4
436,4
437,0
438,7
439,3
440,4
441,0
442,3
443,4
444,8
445,8
446,5
447,8
448,1
449,9
450,9
451,8
452,5
453,4
454,4
455,3
456,0
457,7
458,6
459,5
460,8
461,2
462,0
463,8
464,4
465,3
466,3
467,6
468,5
469,3
470,2
471,1
472,9
473,2
474,2
475,6
476,4
477,4
478,6
479,1
480,2
481,9
482,6
483,8
484,0
485,8
486,7
487,9
488,0
489,0
490,1
491,1
492,1
493,3
494,5
495,3
496,0
497,3
498,9
499,8
500,4
501,8
502,2
503,8
504,4
505,9
506,4
507,7
508,6
509,6
510,0
511,9
512,1
513,1
514,0
515,0
516,5
517,1
518,4
519,6
520,5
521,9
522,7
523,8
524,3
525,8
526,7
527,0
528,6
529,8
530,9
531,5
532,9
533,9
534,1
535,7
536,6
537,6
538,5
539,6
540,6
541,8
542,0
543,3
544,2
545,5
546,2
547,8
548,8
549,2
550,7
551,3
552,2
553,1
554,3
555,8
556,9
557,9
558,7
559,8
560,7
561,4
562,2
563,8
564,0
565,1
566,2
567,9
568,6
569,7
570,6
571,5
572,9
573,0
574,1
575,0
576,3
577,7
578,3
579,4
580,6
581,2
582,6
583,3
584,2
585,5
586,8
587,6
588,7
589,0
590,8
591,6
592,2
593,1
594,0
595,6
596,6
597,8
598,7
599,2
600,4
601,4
602,3
603,9
604,5
605,9
606,8
607,9
608,0
609,8
610,3
611,0
612,2
613,9
614,7
615,8
616,5
617,3
618,5
619,3
620,1
621,5
622,5
623,2
624,2
625,5
626,4
627,1
628,4
629,4
630,5
631,6
632,4
633,6
634,9
635,1
636,5
637,3
638,3
639,4
640,2
641,3
642,4
643,0
644,5
645,9
646,6
647,5
648,1
649,8
650,1
651,0
652,8
653,3
654,3
655,8
656,2
657,3
658,6
659,7
660,9
661,8
