,0
0,9
1,4
2,3
3,8
4,8
5,1
6,5
7,3
8,4
9,1
10,6
11,7
12,8
13,6
14,7
15,6
16,6
17,6
18,0
19,1
20,3
21,9
22,4
23,3
24,0
25,7
26,2
27,0
28,3
29,1
30,7
31,8
32,9
33,9
34,3
35,1
36,5
37,8
38,7
39,5
40,6
41,8
42,9
43,0
44,1
45,9
46,3
47,6
48,9
49,8
50,4
51,8
52,7
53,6
54,6
55,4
56,9
57,1
58,1
59,8
60,0
61,5
62,7
63,9
64,5
65,9
66,3
67,9
68,6
69,9
70,3
71,9
72,3
73,4
74,3
75,6
76,4
77,3
78,9
79,9
80,7
81,8
82,1
83,3
84,6
85,5
86,2
87,8
88,6
89,9
90,0
91,2
92,5
93,3
94,3
95,6
96,3
97,2
98,1
99,1
100,0
101,5
102,3
103,6
104,8
105,9
106,9
107,0
108,0
109,7
110,8
111,3
112,6
113,5
114,9
115,1
116,1
117,6
118,2
119,7
120,0
121,1
122,5
123,5
124,7
125,3
126,2
127,6
128,2
129,2
130,0
131,7
132,9
133,2
134,5
135,9
136,7
137,9
138,5
139,2
140,6
141,7
142,0
143,6
144,7
145,6
146,3
147,0
148,2
149,8
150,9
151,8
152,2
153,7
154,7
155,1
156,0
157,4
158,5
159,8
160,8
161,6
162,8
163,1
164,5
165,2
166,1
167,6
168,6
169,0
170,5
171,3
172,9
173,9
174,7
175,4
176,8
177,7
178,2
179,2
180,5
181,2
182,7
183,1
184,4
185,8
186,2
187,3
188,2
189,5
190,1
191,9
192,4
193,3
194,8
195,9
196,8
197,5
198,7
199,5
200,4
201,8
202,9
203,4
204,6
205,5
206,5
207,8
208,1
209,7
210,3
211,7
212,9
213,2
214,3
215,8
216,0
217,2
218,2
219,4
220,9
221,2
222,9
223,2
224,0
225,3
226,2
227,9
228,5
229,5
230,4
231,9
232,5
233,8
234,9
235,9
236,4
237,6
238,6
239,4
240,9
241,7
242,1
243,4
244,3
245,6
246,7
247,2
248,9
249,5
250,0
251,2
252,0
253,3
254,1
255,5
256,7
257,2
258,5
259,4
260,5
261,8
262,6
263,9
264,5
265,7
266,2
267,3
268,1
269,6
270,7
271,4
272,2
273,7
274,9
275,5
276,7
277,2
278,6
279,3
280,6
281,6
282,8
283,1
284,0
285,6
286,6
287,7
288,6
289,9
290,7
291,6
292,3
293,8
294,5
295,5
296,7
297,3
298,7
299,4
300,9
301,6
302,8
303,2
304,9
305,2
306,4
307,4
308,2
309,2
310,5
311,0
312,5
313,4
314,5
315,6
316,0
317,0
318,7
319,8
320,7
321,0
322,7
323,1
324,3
325,2
326,2
327,1
328,5
329,3
330,5
331,3
332,6
333,4
334,4
335,4
336,1
337,9
338,6
339,9
340,7
341,4
342,3
343,5
344,9
345,2
346,7
347,3
348,2
349,9
350,5
351,3
352,4
353,7
354,2
355,8
356,5
357,7
358,2
359,4
360,1
361,1
362,4
363,9
364,1
365,8
366,6
367,3
368,6
369,4
370,9
371,5
372,2
373,0
374,3
375,8
376,5
377,7
378,4
379,0
380,5
381,8
382,9
383,5
384,2
385,4
386,2
387,6
388,9
389,8
390,3
391,7
392,9
393,6
394,3
395,3
396,6
397,5
398,4
399,4
400,8
401,1
402,8
403,0
404,9
405,0
406,1
407,3
408,3
409,4
410,5
411,8
412,3
413,5
414,9
415,0
416,3
417,3
418,0
419,0
420,9
421,9
422,5
423,4
424,3
425,3
426,9
427,6
428,9
429,3
430,0
431,5
432,9
433,6
434,9
435,8
436,3
437,1
438,6
439,7
440,1
441,3
442,3
443,5
444,5
445,1
446,0
447,0
448,7
449,0
450,4
451,8
452,7
453,7
454,8
455,6
456,6
457,1
458,8
459,9
460,9
461,5
462,7
463,3
464,6
465,0
466,3
467,7
468,4
469,8
470,1
471,0
472,9
473,8
474,5
475,5
476,7
477,4
478,2
479,2
480,6
481,0
482,8
483,5
484,6
485,0
486,2
487,4
488,1
489,0
490,6
491,5
492,9
493,2
494,7
495,6
496,3
497,5
498,4
499,7
500,1
501,3
502,2
503,4
504,3
505,6
506,3
507,6
508,8
509,7
510,8
511,0
512,8
513,5
514,9
515,8
516,4
517,2
518,3
519,3
520,9
521,9
522,9
523,6
524,4
525,6
526,3
527,8
528,5
529,9
530,6
531,0
532,5
533,1
534,6
535,9
536,3
537,4
538,6
539,0
540,7
541,9
542,7
543,9
544,8
545,6
546,3
547,1
548,3
549,1
550,3
551,3
552,1
553,5
554,6
555,7
556,4
557,1
558,8
559,3
560,6
561,7
562,8
563,4
564,1
565,5
566,1
567,4
568,2
569,1
570,2
571,0
572,6
573,9
574,4
575,3
576,4
577,6
578,4
579,3
580,7
581,3
582,1
583,6
584,9
585,3
586,1
587,8
588,8
589,4
590,1
591,0
592,1
593,1
594,0
595,9
596,3
597,5
598,1
599,4
600,9
601,5
602,7
603,0
604,4
605,7
606,0
607,5
608,6
609,9
610,3
611,4
612,4
613,6
614,7
615,3
616,3
617,9
618,5
619,6
620,7
621,9
622,0
623,6
624,2
625,3
626,5
627,7
628,3
629,8
630,7
631,8
632,6
633,3
634,0
635,8
636,2
637,4
638,9
639,5
640,7
641,6
642,8
643,8
644,1
645,3
646,3
647,3
648,5
649,4
650,8
651,9
652,8
653,6
654,2
655,5
656,7
657,6
658,3
659,0
660,8
661,0
662,6
663,3
664,6
665,7
666,9
667,3
668,2
669,0
670,0
671,8
672,1
673,0
674,8
675,2
676,7
677,1
678,3
679,5
680,1
681,6
682,4
683,7
684,7
685,9
686,8
687,2
688,2
689,2
690,6
691,0
692,3
693,4
694,4
695,3
696,6
697,7
698,3
699,1
700,1
701,5
702,8
703,7
704,4
705,8
706,8
707,8
708,3
709,1
710,2
711,5
712,8
713,8
714,2
715,2
716,4
717,5
718,2
719,4
720,1
721,8
722,7
723,3
724,1
725,3
726,5
727,1
728,8
729,9
730,9
731,5
732,5
733,1
734,4
735,5
736,0
737,0
738,3
739,9
740,4
741,0
742,6
743,9
744,6
745,4
746,2
747,3
748,1
749,7
750,6
751,8
752,4
753,6
754,6
755,6
756,2
757,2
758,0
759,8
760,7
761,0
762,1
763,2
764,8
765,0
766,8
767,5
768,5
769,0
770,7
771,8
772,0
773,5
774,4
775,5
776,5
777,4
778,8
779,3
780,7
781,6
782,8
783,6
784,6
785,5
786,8
787,1
788,4
789,1
790,7
791,3
792,4
793,8
794,6
795,1
796,1
797,8
798,4
799,2
800,4
801,1
802,8
803,5
804,6
805,3
806,4
807,5
808,6
809,0
810,9
811,1
812,0
813,3
814,4
815,9
816,9
817,5
818,2
819,8
820,0
821,0
822,2
823,5
824,1
825,7
826,4
827,5
828,5
829,7
830,1
831,6
832,6
833,7
834,0
835,2
836,3
837,8
838,6
839,6
840,9
841,2
842,2
843,0
844,7
845,5
846,6
847,7
848,4
849,7
850,4
851,9
852,1
853,5
854,9
855,0
856,3
857,3
858,5
859,2
860,6
861,8
862,2
863,5
864,2
865,6
866,0
867,2
868,7
869,1
870,4
871,8
872,5
873,6
874,3
875,6
876,9
877,6
878,6
879,2
880,8
881,7
882,1
883,8
884,3
885,6
886,7
887,5
888,3
889,0
890,5
891,4
892,6
893,4
894,5
895,1
896,3
897,7
898,7
899,8
900,2
901,4
902,9
903,5
904,4
905,5
906,3
907,9
908,5
909,8
910,7
911,8
912,3
913,7
914,2
915,1
916,5
917,4
918,2
919,8
920,6
921,7
922,7
923,0
924,9
925,6
926,6
927,8
928,3
929,0
930,0
931,4
932,7
933,7
934,6
935,3
936,9
937,4
938,0
939,5
940,9
941,2
942,2
943,6
944,6
945,4
946,0
947,4
948,5
949,9
950,8
951,7
952,1
953,5
954,0
955,2
956,7
957,8
958,2
959,6
960,4
961,3
962,2
963,4
964,8
965,7
966,5
967,1
968,8
969,9
970,9
971,2
972,7
973,1
974,3
975,3
976,4
977,3
978,1
979,2
980,6
981,7
982,9
983,1
984,1
985,9
986,8
987,0
988,7
989,1
990,6
991,3
992,1
993,0
994,2
995,5
996,4
997,6
998,7
999,0
1000,6
1001,5
1002,4
1003,3
1004,1
1005,3
1006,0
1007,9
1008,3
1009,4
1010,4
1011,7
1012,9
1013,7
1014,6
1015,5
1016,7
1017,1
1018,0
1019,3
1020,1
1021,5
1022,9
1023,3
1024,4
1025,9
1026,8
1027,0
1028,5
1029,2
1030,6
1031,4
1032,0
1033,2
1034,6
1035,3
1036,4
1037,6
1038,7
1039,2
1040,1
1041,0
1042,5
1043,3
1044,6
1045,6
1046,5
1047,5
1048,8
1049,2
1050,4
1051,5
1052,4
1053,3
1054,5
1055,4
1056,0
1057,9
1058,1
1059,4
1060,2
1061,4
1062,0
1063,8
1064,8
1065,2
1066,9
1067,5
1068,6
1069,9
1070,5
1071,2
1072,6
1073,0
1074,5
1075,9
1076,6
1077,6
1078,2
1079,7
1080,7
1081,7
1082,5
1083,6
1084,8
1085,6
1086,7
1087,3
1088,7
1089,5
1090,4
1091,6
1092,6
1093,4
1094,5
1095,8
1096,9
1097,3
1098,2
1099,2
1100,8
1101,4
1102,2
1103,7
1104,2
1105,1
1106,2
1107,0
1108,1
1109,3
1110,1
1111,1
1112,6
1113,3
1114,0
1115,8
1116,2
1117,1
1118,5
1119,1
1120,3
1121,6
1122,3
1123,0
1124,0
1125,6
1126,6
1127,9
1128,2
1129,7
1130,8
1131,0
1132,1
1133,6
1134,5
1135,9
1136,6
1137,4
1138,2
1139,4
1140,7
1141,0
1142,1
1143,4
1144,1
1145,8
1146,4
1147,2
1148,1
1149,1
1150,8
1151,4
1152,0
1153,5
1154,0
1155,0
1156,8
1157,1
1158,2
1159,2
1160,4
1161,2
1162,6
1163,6
1164,8
1165,8
1166,5
1167,3
1168,2
1169,8
1170,6
1171,4
1172,2
1173,6
1174,9
1175,5
1176,6
1177,6
1178,1
1179,9
1180,5
1181,6
1182,2
1183,4
1184,4
1185,0
1186,6
1187,3
1188,4
1189,9
1190,0
1191,0
1192,1
1193,9
1194,0
1195,7
1196,4
1197,1
1198,1
1199,4
1200,4
1201,0
1202,3
1203,5
1204,9
1205,0
1206,4
1207,3
1208,8
1209,3
1210,9
1211,3
1212,3
1213,7
1214,9
1215,1
1216,2
1217,6
1218,8
1219,5
1220,3
1221,6
1222,2
1223,0
1224,1
1225,8
1226,0
1227,4
1228,9
1229,3
1230,7
1231,2
1232,7
1233,6
1234,8
1235,0
1236,9
1237,2
1238,8
1239,2
1240,7
1241,1
1242,2
1243,1
1244,9
1245,3
1246,7
1247,2
1248,7
1249,4
1250,9
1251,1
1252,1
1253,3
1254,7
1255,1
1256,7
1257,9
1258,6
1259,9
1260,0
