,0
0,4
1,3
2,2
3,9
4,2
5,1
6,7
7,7
8,6
9,7
10,8
11,6
12,6
13,4
14,1
15,8
16,6
17,4
18,0
19,9
20,5
21,6
22,6
23,3
24,2
25,3
26,2
27,0
28,4
29,1
30,8
31,2
32,7
33,6
34,4
35,7
36,9
37,6
38,0
39,9
40,5
41,0
42,0
43,9
44,3
45,9
46,6
47,6
48,9
49,7
50,6
51,1
52,9
53,3
54,5
55,2
56,3
57,7
58,6
59,3
60,6
61,9
62,9
63,9
64,4
65,3
66,1
67,4
68,3
69,1
70,1
71,4
72,5
73,8
74,6
75,6
76,7
77,3
78,2
79,1
80,4
81,7
82,4
83,7
84,8
85,4
86,4
87,7
88,5
89,3
90,8
91,7
92,4
93,2
94,3
95,5
96,0
97,3
98,5
99,9
100,5
101,6
102,6
103,9
104,7
105,5
106,9
107,8
108,6
109,0
110,7
111,1
112,7
113,9
114,9
115,2
116,4
117,4
118,0
119,9
120,9
121,7
122,8
123,4
124,7
125,0
126,9
127,0
128,7
129,7
130,2
131,4
132,2
133,5
134,8
135,7
136,6
137,7
138,3
139,5
140,7
141,8
142,5
143,0
144,2
145,0
146,3
147,4
148,1
149,3
150,8
151,4
152,3
153,2
154,9
155,1
156,6
157,3
158,2
159,7
160,2
161,4
162,2
163,3
164,1
165,9
166,7
167,1
168,8
169,7
170,7
171,0
172,8
173,7
174,2
175,5
176,8
177,3
178,5
179,2
180,8
181,9
182,2
183,6
184,9
185,4
186,7
187,1
188,4
189,6
190,5
191,1
192,3
193,3
194,1
195,1
196,4
197,4
198,9
199,0
200,3
201,7
202,8
203,5
204,9
205,2
206,8
207,6
208,8
209,2
210,2
211,2
212,7
213,9
214,4
215,2
216,0
217,1
218,6
219,9
220,0
221,1
222,4
223,7
224,6
225,1
226,9
227,2
228,2
229,7
230,2
231,6
232,3
233,7
234,0
235,1
236,6
237,7
238,4
239,8
240,8
241,8
242,5
243,7
244,5
245,4
246,0
247,4
248,8
249,2
250,5
251,4
252,5
253,1
254,7
255,5
256,0
257,5
258,2
259,5
260,3
261,7
262,1
263,4
264,9
265,4
266,8
267,2
268,5
269,8
270,5
271,9
272,7
273,9
274,0
275,7
276,4
277,5
278,3
279,3
280,7
281,9
282,6
283,1
284,6
285,3
286,2
287,3
288,8
289,5
290,2
291,6
292,5
293,6
294,2
295,1
296,3
297,9
298,9
299,2
300,4
301,0
302,4
303,7
304,6
305,0
306,6
307,9
308,2
309,8
310,8
311,9
312,7
313,8
314,8
315,4
316,1
317,2
318,2
319,3
320,5
321,8
322,5
323,4
324,0
325,6
326,4
327,8
328,8
329,3
330,2
331,8
332,3
333,8
334,4
335,9
336,3
337,6
338,8
339,3
340,0
341,9
342,9
343,2
344,3
345,4
346,0
347,3
348,6
349,5
350,7
351,3
352,1
353,9
354,2
355,3
356,1
357,2
358,6
359,1
360,4
361,3
362,8
363,8
364,3
365,4
366,4
367,3
368,8
369,0
370,1
371,1
372,7
373,6
374,7
375,2
376,0
377,5
378,9
379,1
380,3
381,9
382,3
383,2
384,1
385,7
386,1
387,8
388,9
389,5
390,4
391,3
392,2
393,3
394,2
395,3
396,1
397,3
398,1
399,6
400,6
401,6
402,4
403,3
404,6
405,1
406,0
407,5
408,2
409,1
410,2
411,4
412,1
413,7
414,2
415,6
416,6
417,1
418,8
419,6
420,4
421,0
422,1
423,5
424,9
425,6
426,5
427,8
428,5
429,2
430,6
431,1
432,5
433,0
434,0
435,0
436,9
437,7
438,5
439,6
440,8
441,4
442,2
443,9
444,5
445,3
446,7
447,4
448,8
449,2
450,1
451,4
452,2
453,3
454,0
455,1
456,1
457,8
458,2
459,0
460,3
461,2
462,7
463,5
464,1
465,6
466,0
467,6
468,3
469,0
470,4
471,4
472,7
473,8
474,4
475,7
476,2
477,5
478,9
479,4
480,9
481,5
482,8
483,0
484,0
485,0
486,8
487,4
488,2
489,3
490,9
491,8
492,2
493,8
494,1
495,6
496,7
497,9
498,9
499,5
500,4
501,9
502,6
503,4
504,6
505,5
506,7
507,9
508,4
509,5
510,2
511,9
512,8
513,4
514,9
515,2
516,6
517,1
518,4
519,4
520,9
521,8
522,8
523,3
524,1
525,8
526,4
527,6
528,4
529,3
530,6
531,6
532,1
533,6
534,6
535,5
536,6
537,8
538,3
539,1
540,1
541,4
542,4
543,4
544,5
545,9
546,6
547,7
548,5
549,4
550,4
551,8
552,9
553,3
554,5
555,4
556,2
557,7
558,9
559,1
560,2
561,0
562,4
563,6
564,6
565,8
566,6
567,8
568,8
569,5
570,7
571,4
572,7
573,7
574,0
575,6
576,1
577,0
578,7
579,8
580,9
581,0
582,9
583,5
584,7
585,8
586,8
587,4
588,7
589,0
590,1
591,9
592,5
593,7
594,4
595,7
596,7
597,3
598,8
599,5
600,3
601,8
602,6
603,9
604,8
605,7
606,3
607,5
608,1
609,4
610,3
611,5
612,0
613,4
614,5
615,5
616,8
617,8
618,8
619,9
620,9
621,3
622,3
623,7
624,9
625,9
626,7
627,1
628,3
629,3
630,0
631,3
632,1
633,0
634,8
635,9
636,0
637,8
638,3
639,6
640,4
641,9
642,2
643,8
644,7
645,5
646,7
647,5
648,3
649,0
650,6
651,4
652,6
653,4
654,3
655,5
656,5
657,3
658,3
659,1
660,3
661,6
662,7
663,4
664,3
665,2
666,8
667,7
668,3
669,7
670,7
671,0
672,9
673,8
674,8
675,4
676,2
677,3
678,8
679,1
680,5
681,8
682,4
683,4
684,0
685,6
686,5
687,4
688,1
689,4
690,3
691,9
692,6
693,3
694,7
695,7
696,8
697,1
698,9
699,4
700,9
701,1
702,6
703,0
704,7
705,7
706,1
707,0
708,4
709,4
710,8
711,0
712,6
713,3
714,5
715,7
716,6
717,4
718,4
719,1
720,8
721,3
722,7
723,8
724,8
725,3
726,7
727,0
728,1
729,6
730,7
731,2
732,0
733,0
734,3
735,9
736,6
737,1
738,0
739,9
740,5
741,8
742,9
743,6
744,8
745,3
746,6
747,2
748,6
749,7
750,7
751,3
752,8
753,9
754,4
755,4
756,9
757,8
758,5
759,0
760,7
761,6
762,3
763,5
764,2
765,1
766,1
767,4
768,8
769,9
770,7
771,8
772,1
773,7
774,0
775,0
776,0
777,6
778,8
779,6
780,3
781,2
782,8
783,7
784,2
785,3
786,9
787,6
788,9
789,1
790,1
791,5
792,9
793,5
794,6
795,6
796,4
797,0
798,7
799,2
800,1
801,9
802,5
803,6
804,8
805,2
806,7
807,3
808,8
809,6
810,8
811,2
812,8
813,3
814,4
815,6
816,5
817,8
818,8
819,7
820,6
821,6
822,5
823,9
824,8
825,5
826,3
827,5
828,3
829,3
830,8
831,5
832,3
833,4
834,8
835,7
836,6
837,3
838,9
839,2
840,9
841,7
842,4
843,6
844,1
845,1
846,6
847,3
848,8
849,3
850,7
851,9
852,3
853,0
854,6
855,5
856,4
857,2
858,6
859,4
860,4
861,1
862,3
863,6
864,2
865,2
866,5
867,9
868,3
869,1
870,2
871,5
872,9
873,3
874,2
875,9
876,5
877,1
878,3
879,5
880,2
881,8
882,4
883,9
884,4
885,8
886,3
887,1
888,3
889,3
890,4
891,5
892,7
893,1
894,1
895,3
896,2
897,2
898,2
899,3
900,5
901,5
902,6
903,2
904,5
905,8
906,9
907,8
908,8
909,3
910,1
911,3
912,0
913,5
914,6
915,7
916,3
917,2
918,2
919,1
920,4
921,5
922,4
923,9
924,8
925,1
926,4
927,5
928,2
929,8
930,1
931,3
932,2
933,2
934,8
935,9
936,0
937,6
938,0
939,4
940,5
941,3
942,3
943,8
944,1
945,5
946,4
947,9
948,1
949,0
950,7
951,3
952,3
953,3
954,6
955,0
956,3
957,7
958,0
959,3
960,6
961,8
962,2
963,6
964,9
965,9
966,4
967,7
968,8
969,2
970,7
971,1
972,0
973,8
974,4
975,8
976,6
977,5
978,9
979,7
980,4
981,8
982,2
983,2
984,3
985,6
986,0
987,2
988,6
989,0
990,5
991,7
992,6
993,7
994,3
995,0
996,2
997,2
998,1
999,6
1000,4
1001,2
1002,2
1003,6
1004,4
1005,3
1006,3
1007,9
1008,9
1009,3
1010,1
1011,1
1012,7
1013,3
1014,4
1015,4
1016,2
1017,2
1018,0
1019,7
1020,3
1021,2
1022,1
1023,9
1024,9
1025,8
1026,2
1027,9
1028,0
1029,4
1030,0
1031,5
1032,4
1033,5
1034,8
1035,1
1036,3
1037,5
1038,5
1039,8
1040,9
1041,5
1042,0
1043,2
1044,0
1045,7
1046,2
1047,4
1048,7
1049,1
1050,7
1051,4
1052,2
1053,4
1054,2
1055,5
1056,0
1057,7
1058,8
1059,1
1060,3
1061,3
1062,4
1063,3
1064,8
1065,8
1066,5
1067,3
1068,5
1069,2
1070,8
1071,5
1072,9
1073,7
1074,6
1075,9
1076,7
1077,6
1078,4
1079,4
1080,3
1081,1
1082,8
1083,4
1084,6
1085,4
1086,7
1087,1
1088,7
1089,0
1090,0
1091,5
1092,6
1093,0
1094,9
1095,3
1096,4
1097,7
1098,1
1099,5
1100,4
1101,7
1102,4
1103,9
1104,1
1105,0
1106,4
1107,6
1108,3
1109,3
1110,1
1111,3
1112,3
1113,6
1114,9
1115,3
1116,7
1117,2
1118,7
1119,4
1120,2
1121,2
1122,8
1123,1
1124,3
1125,1
1126,3
1127,4
1128,4
1129,6
1130,5
1131,8
1132,1
1133,8
1134,0
1135,0
1136,5
1137,1
1138,3
1139,9
1140,3
1141,6
1142,1
1143,7
1144,2
1145,3
1146,6
1147,0
1148,1
1149,8
1150,8
1151,4
1152,4
1153,7
1154,3
1155,1
1156,9
1157,5
1158,6
1159,8
1160,4
1161,3
1162,1
1163,0
1164,5
1165,7
1166,5
1167,3
1168,3
1169,6
1170,1
1171,0
1172,6
1173,8
1174,1
1175,7
1176,0
1177,8
1178,0
1179,3
1180,9
1181,3
1182,8
1183,6
1184,0
1185,2
1186,5
1187,9
1188,8
1189,8
1190,5
1191,6
1192,6
1193,4
1194,9
1195,0
1196,5
1197,4
1198,8
1199,9
1200,2
1201,5
1202,8
1203,5
1204,3
1205,9
1206,6
1207,2
1208,3
1209,5
1210,5
1211,2
1212,4
1213,0
1214,9
1215,3
1216,9
1217,2
1218,5
1219,5
1220,5
1221,6
1222,9
1223,2
1224,1
1225,7
1226,0
1227,0
1228,8
1229,0
1230,2
1231,4
1232,3
1233,9
1234,9
1235,0
1236,1
1237,4
1238,9
1239,3
1240,1
1241,9
1242,4
1243,1
1244,0
1245,5
1246,4
1247,2
1248,9
1249,1
1250,6
1251,0
1252,6
1253,3
1254,0
1255,9
1256,3
1257,4
1258,0
1259,8
1260,8
1261,8
1262,6
1263,0
1264,7
1265,8
1266,8
1267,4
1268,5
1269,5
1270,1
1271,0
1272,8
1273,1
1274,7
1275,5
1276,4
1277,5
1278,3
1279,6
1280,3
1281,7
1282,6
1283,4
1284,3
1285,9
1286,0
1287,1
1288,8
1289,8
1290,8
1291,1
1292,1
1293,3
1294,7
1295,5
1296,3
1297,8
1298,7
1299,0
1300,4
1301,6
1302,8
1303,1
1304,9
1305,5
1306,3
1307,4
1308,1
1309,0
1310,3
1311,9
1312,4
1313,6
1314,0
1315,7
1316,1
1317,0
1318,5
1319,4
1320,7
1321,3
1322,9
1323,4
1324,6
1325,9
1326,7
1327,0
1328,6
1329,9
1330,4
1331,5
1332,8
1333,6
1334,4
1335,0
1336,4
1337,8
1338,9
1339,5
1340,1
1341,4
1342,6
1343,2
1344,1
1345,8
1346,7
1347,4
1348,6
1349,0
1350,1
1351,3
1352,8
1353,4
1354,7
1355,4
1356,6
1357,9
1358,3
1359,5
1360,4
1361,5
1362,3
1363,9
1364,0
1365,8
1366,7
1367,1
1368,4
1369,1
1370,2
1371,9
1372,1
1373,1
1374,9
1375,6
1376,9
1377,6
1378,1
1379,1
1380,6
1381,0
1382,5
1383,0
1384,1
1385,4
1386,1
1387,8
1388,0
1389,4
1390,0
1391,0
1392,5
1393,3
1394,2
1395,7
1396,5
1397,7
1398,0
1399,8
1400,8
1401,4
1402,1
1403,5
1404,2
1405,3
1406,6
1407,6
1408,8
1409,7
1410,6
1411,0
1412,9
1413,0
1414,3
1415,2
1416,5
1417,3
1418,3
1419,8
1420,0
1421,9
1422,8
1423,2
1424,5
1425,9
1426,7
1427,6
1428,5
1429,9
1430,9
1431,5
1432,1
1433,8
1434,3
1435,1
1436,0
1437,6
1438,5
1439,8
1440,1
1441,1
1442,7
1443,7
1444,7
1445,6
1446,3
1447,9
1448,9
1449,2
1450,6
1451,7
1452,8
1453,1
1454,1
1455,2
1456,0
1457,8
1458,3
1459,2
1460,3
1461,3
1462,6
1463,7
1464,3
1465,4
1466,8
1467,9
1468,4
1469,6
1470,9
1471,8
1472,6
1473,8
1474,1
1475,8
1476,6
1477,6
1478,9
1479,3
1480,2
1481,6
1482,8
1483,7
1484,4
1485,9
1486,4
1487,4
1488,9
1489,3
1490,1
1491,3
1492,8
1493,7
1494,3
1495,0
1496,3
1497,2
1498,5
1499,2
1500,6
1501,8
1502,4
1503,3
1504,6
1505,6
1506,4
1507,0
1508,7
1509,5
1510,4
1511,9
1512,6
1513,8
1514,3
1515,9
1516,4
1517,5
1518,9
1519,3
1520,6
1521,2
1522,6
1523,6
1524,5
1525,5
1526,4
1527,9
1528,7
1529,1
1530,3
1531,0
1532,3
1533,3
1534,2
1535,0
1536,3
1537,9
1538,7
1539,0
1540,0
1541,6
1542,7
1543,2
1544,6
1545,5
1546,0
1547,3
1548,4
1549,5
1550,6
1551,0
1552,4
1553,9
1554,7
1555,1
1556,3
1557,1
1558,5
1559,4
1560,3
1561,0
1562,6
1563,3
1564,7
1565,2
1566,0
1567,6
1568,6
1569,1
1570,3
1571,8
1572,3
1573,5
1574,7
1575,4
1576,8
1577,9
1578,3
1579,4
1580,5
1581,5
1582,9
1583,8
1584,7
1585,4
1586,2
1587,6
1588,7
1589,3
1590,9
1591,9
1592,8
1593,8
1594,9
1595,5
1596,0
1597,6
1598,9
1599,3
1600,5
1601,5
1602,6
1603,8
1604,6
1605,4
1606,5
1607,4
1608,4
1609,6
1610,1
1611,6
1612,9
1613,7
1614,0
1615,2
1616,5
1617,1
1618,5
1619,3
1620,3
1621,8
1622,4
1623,1
1624,0
1625,4
1626,1
1627,0
1628,1
1629,6
1630,0
1631,0
1632,8
1633,7
1634,7
1635,6
1636,8
1637,6
1638,1
1639,3
1640,6
1641,1
1642,8
1643,6
1644,8
1645,0
1646,8
1647,3
1648,6
1649,7
1650,7
1651,8
1652,1
1653,5
1654,3
1655,5
1656,5
1657,2
1658,4
1659,2
1660,4
1661,3
1662,6
1663,0
1664,0
1665,0
1666,7
1667,2
1668,4
1669,0
1670,4
1671,7
1672,3
1673,6
1674,2
1675,3
1676,7
1677,2
1678,2
1679,4
1680,2
1681,5
1682,2
1683,0
1684,5
1685,1
1686,5
1687,0
1688,2
1689,3
1690,9
1691,3
1692,3
1693,3
1694,4
1695,2
1696,2
1697,8
1698,1
1699,0
1700,4
1701,1
1702,1
1703,1
1704,1
1705,2
1706,9
1707,3
1708,2
1709,8
1710,5
1711,7
1712,7
1713,4
1714,3
1715,3
1716,4
1717,6
1718,4
1719,4
1720,5
1721,4
1722,8
1723,6
1724,4
1725,3
1726,7
1727,5
1728,9
1729,5
1730,5
1731,0
1732,7
1733,7
1734,4
1735,4
1736,7
1737,9
1738,8
1739,2
1740,0
1741,5
1742,1
1743,1
1744,5
1745,7
1746,3
1747,1
1748,5
1749,3
1750,9
1751,3
1752,3
1753,4
1754,6
1755,6
1756,8
1757,7
1758,8
1759,8
1760,6
1761,4
1762,3
1763,5
1764,7
1765,3
1766,5
1767,9
1768,3
1769,4
1770,9
1771,1
1772,6
1773,6
1774,2
1775,7
1776,6
1777,0
1778,5
1779,5
1780,6
1781,6
1782,9
1783,4
1784,1
1785,4
1786,6
1787,0
1788,5
1789,0
1790,3
1791,5
1792,3
1793,6
1794,3
1795,6
1796,5
1797,1
1798,7
1799,1
1800,5
1801,6
1802,3
1803,7
1804,6
1805,6
1806,3
1807,2
1808,3
1809,5
1810,9
1811,1
1812,2
1813,0
1814,1
1815,6
1816,7
1817,6
1818,9
1819,1
1820,7
1821,8
1822,6
1823,7
1824,9
1825,5
1826,6
1827,5
1828,4
1829,2
1830,5
1831,0
1832,1
1833,5
1834,1
1835,0
1836,6
1837,1
1838,5
1839,0
1840,8
1841,4
1842,8
1843,4
1844,6
1845,4
1846,1
1847,0
1848,7
1849,9
1850,3
1851,7
1852,9
1853,9
1854,2
1855,1
1856,3
1857,8
1858,1
1859,6
1860,1
1861,2
1862,4
1863,6
1864,6
1865,8
1866,6
1867,7
1868,2
1869,9
1870,5
1871,5
1872,4
1873,3
1874,6
1875,9
1876,9
1877,3
1878,8
1879,8
1880,3
1881,1
1882,1
1883,2
1884,5
1885,5
1886,4
1887,3
1888,7
1889,3
1890,3
1891,1
1892,1
1893,7
1894,5
1895,2
1896,5
1897,6
1898,4
1899,0
1900,7
1901,1
1902,3
1903,1
1904,4
1905,1
1906,3
1907,3
1908,2
1909,8
1910,7
1911,9
1912,5
1913,7
1914,3
1915,8
1916,9
1917,4
1918,3
1919,7
1920,0
1921,9
1922,2
1923,8
1924,6
1925,0
1926,4
1927,0
1928,5
1929,8
1930,1
1931,6
1932,3
1933,5
1934,8
1935,6
1936,1
1937,3
1938,6
1939,3
1940,4
1941,1
1942,5
1943,1
1944,8
1945,4
1946,5
1947,2
1948,7
1949,8
1950,2
1951,3
1952,3
1953,3
1954,0
1955,7
1956,6
1957,3
1958,6
1959,0
1960,7
1961,5
1962,7
1963,4
1964,4
1965,8
1966,9
1967,9
1968,6
1969,7
1970,7
1971,0
1972,2
1973,1
1974,6
1975,0
1976,8
1977,3
1978,8
1979,3
1980,0
1981,1
1982,0
1983,2
1984,3
1985,3
1986,0
1987,0
1988,9
1989,3
1990,7
1991,2
1992,9
1993,3
1994,8
1995,0
1996,7
1997,7
1998,9
1999,7
2000,2
2001,5
2002,1
2003,3
2004,4
2005,2
2006,5
2007,8
2008,7
2009,2
2010,8
2011,5
2012,6
2013,2
2014,5
2015,2
2016,4
2017,1
2018,6
2019,9
2020,7
2021,1
2022,0
2023,0
2024,0
2025,2
2026,9
2027,0
2028,9
2029,6
2030,3
2031,6
2032,0
2033,5
2034,7
2035,2
2036,3
2037,7
2038,4
2039,7
2040,5
2041,7
2042,7
2043,4
2044,2
2045,0
2046,7
2047,6
2048,5
2049,5
2050,5
2051,7
2052,6
2053,5
2054,9
2055,7
2056,3
2057,7
2058,0
2059,3
2060,2
2061,4
2062,7
2063,4
2064,7
2065,0
2066,6
2067,2
2068,4
2069,4
2070,3
2071,6
2072,7
2073,3
2074,1
2075,4
2076,3
2077,1
2078,1
2079,5
2080,6
2081,9
2082,9
2083,4
2084,7
2085,5
2086,4
2087,3
2088,0
2089,8
2090,3
2091,8
2092,6
2093,2
2094,8
2095,2
2096,3
2097,0
2098,4
2099,3
2100,7
2101,0
2102,5
2103,3
2104,0
2105,6
2106,1
2107,9
2108,9
2109,3
2110,1
2111,4
2112,1
2113,2
2114,3
2115,1
2116,0
2117,9
2118,5
2119,8
2120,3
2121,7
2122,9
2123,4
2124,3
2125,0
2126,9
2127,5
2128,0
2129,7
2130,2
2131,2
2132,5
2133,8
2134,3
2135,4
2136,5
2137,2
2138,6
2139,8
2140,1
2141,2
2142,6
2143,1
2144,0
2145,8
2146,0
2147,3
2148,6
2149,3
2150,6
2151,9
2152,6
2153,3
2154,4
2155,9
2156,2
2157,0
2158,1
2159,4
2160,4
2161,7
2162,3
2163,2
2164,1
2165,7
2166,8
2167,8
2168,0
2169,1
2170,3
2171,9
2172,7
2173,6
2174,5
2175,4
2176,3
2177,2
2178,9
2179,2
2180,1
2181,1
2182,5
2183,7
2184,1
2185,9
2186,4
2187,1
2188,8
2189,3
2190,9
2191,1
2192,1
2193,8
2194,4
2195,3
2196,4
2197,5
2198,1
2199,4
2200,0
2201,3
2202,8
2203,9
2204,1
2205,0
2206,9
2207,9
2208,3
2209,0
2210,5
2211,2
2212,1
2213,3
2214,1
2215,6
2216,8
2217,1
2218,3
2219,3
2220,0
2221,1
2222,8
2223,3
2224,1
2225,9
2226,0
2227,3
2228,8
2229,4
2230,3
2231,6
2232,8
2233,7
2234,5
2235,2
2236,8
2237,1
2238,2
2239,9
2240,5
2241,8
2242,3
2243,6
2244,3
2245,3
2246,9
2247,7
2248,3
2249,1
2250,8
2251,9
2252,5
2253,9
2254,0
2255,5
2256,4
2257,3
2258,0
2259,0
2260,0
2261,9
2262,9
2263,4
2264,6
2265,3
2266,9
2267,4
2268,7
2269,8
2270,4
2271,4
2272,0
2273,8
2274,1
2275,7
2276,3
2277,8
2278,0
2279,2
2280,8
2281,5
2282,9
2283,4
2284,3
2285,1
2286,1
2287,7
2288,3
2289,4
2290,9
2291,1
2292,8
2293,4
2294,1
2295,9
2296,3
2297,2
2298,5
2299,6
2300,4
2301,8
2302,3
2303,0
2304,3
2305,1
2306,5
2307,9
2308,3
2309,3
2310,9
2311,5
2312,6
2313,9
2314,9
2315,0
2316,5
2317,9
2318,5
2319,1
2320,7
2321,3
2322,7
2323,3
2324,1
2325,4
