,0
0,3
1,1
2,1
3,0
4,3
5,4
6,6
7,6
8,3
9,9
10,8
11,3
12,4
13,0
14,0
15,5
16,9
17,6
18,7
19,0
20,6
21,3
22,1
23,5
24,9
25,0
26,9
27,9
28,5
29,9
30,9
31,0
32,7
33,5
34,1
35,9
36,5
37,1
38,1
39,4
40,4
41,2
42,1
43,5
44,9
45,3
46,5
47,5
48,1
49,7
50,8
51,1
52,9
53,1
54,3
55,5
56,1
57,4
58,3
59,9
60,8
61,4
62,0
63,7
64,9
65,4
66,4
67,2
68,9
69,4
70,8
71,5
72,7
73,9
74,2
75,1
76,5
77,3
78,1
79,7
80,7
81,3
82,8
83,8
84,7
85,9
86,9
87,6
88,8
89,7
90,5
91,0
92,0
93,8
94,6
95,4
96,6
97,0
98,9
99,3
100,4
101,5
102,1
103,4
104,7
105,9
106,5
107,2
108,5
109,3
110,3
111,5
112,5
113,1
114,5
115,5
116,6
117,7
118,3
119,8
120,1
121,5
122,2
123,1
124,4
125,1
126,3
127,6
128,6
129,2
130,5
131,4
132,9
133,0
134,9
135,0
136,4
137,4
138,8
139,7
140,7
141,9
142,4
143,4
144,0
145,2
146,8
147,7
148,3
149,5
150,7
151,7
152,7
153,0
154,4
155,8
156,3
157,1
158,6
159,4
160,8
161,7
162,9
163,1
164,4
165,3
166,9
167,4
168,8
169,2
170,3
171,4
172,8
173,0
174,8
175,9
176,9
177,9
178,1
179,2
180,3
181,5
182,9
183,4
184,5
185,6
186,1
187,5
188,4
189,9
190,0
191,5
192,3
193,6
194,8
195,2
196,3
197,9
198,8
199,9
200,4
201,9
202,4
203,2
204,3
205,3
206,2
207,0
208,5
209,4
210,6
211,6
212,1
213,0
214,0
215,9
216,1
217,5
218,5
219,5
220,8
221,0
222,0
223,5
224,9
225,9
226,7
227,6
228,4
229,9
230,3
231,6
232,4
233,8
234,5
235,8
236,5
237,5
238,3
239,4
240,3
241,8
242,3
243,8
244,7
245,2
246,8
247,6
248,5
249,7
250,0
251,2
252,0
253,0
254,9
255,5
256,3
257,1
258,2
259,9
260,7
261,4
262,4
263,6
264,9
265,3
266,5
267,9
268,8
269,3
270,2
271,3
272,9
273,3
274,3
275,7
276,8
277,6
278,9
279,0
280,4
281,5
282,6
283,4
284,2
285,6
286,2
287,6
288,9
289,8
290,3
291,0
292,0
293,4
294,1
295,4
296,9
297,3
298,5
299,6
300,9
301,4
302,4
303,0
304,2
305,9
306,5
307,1
308,6
309,1
310,2
311,3
312,5
313,3
314,5
315,4
316,0
317,0
318,3
319,5
320,9
321,3
322,0
323,7
324,7
325,0
326,5
327,8
328,4
329,1
330,1
331,4
332,9
333,3
334,7
335,9
336,9
337,3
338,3
339,2
340,1
341,1
342,2
343,7
344,8
345,0
346,1
347,2
348,7
349,5
350,3
351,7
352,8
353,8
354,9
355,8
356,0
357,3
358,0
359,3
360,5
361,3
362,6
363,8
364,5
365,2
366,3
367,2
368,9
369,7
370,7
371,4
372,6
373,0
374,7
375,3
376,9
377,3
378,1
379,6
380,3
381,3
382,5
383,7
384,8
385,5
386,8
387,8
388,8
389,1
390,4
391,1
392,8
393,6
394,6
395,1
396,2
397,0
398,8
399,3
400,3
401,5
402,8
403,1
404,5
405,8
406,0
407,5
408,4
409,3
410,3
411,7
412,3
413,3
414,9
415,6
416,8
417,3
418,9
419,1
420,9
421,7
422,3
423,9
424,6
425,1
426,4
427,3
428,2
429,8
430,9
431,5
432,8
433,2
434,4
435,5
436,5
437,1
438,1
439,3
440,4
441,7
442,0
443,8
444,6
445,2
446,1
447,3
448,4
449,8
450,9
451,5
452,6
453,2
454,9
455,6
456,3
457,2
458,7
459,9
460,4
461,1
462,9
463,2
464,5
465,3
466,2
467,2
468,9
469,8
470,3
471,2
472,5
473,3
474,7
475,1
476,7
477,5
478,0
479,4
480,3
481,3
482,2
483,2
484,1
485,9
486,4
487,1
488,2
489,2
490,4
491,5
492,3
493,3
494,8
495,6
496,4
497,1
498,3
499,8
500,0
501,3
502,6
503,6
504,6
505,5
506,3
507,9
508,3
509,7
510,4
511,1
512,1
513,0
514,4
515,0
516,2
517,8
518,0
519,1
520,9
521,0
522,3
523,9
524,3
525,9
526,4
527,3
528,2
529,9
530,9
531,9
532,4
533,7
534,6
535,6
536,5
537,1
538,0
539,4
540,9
541,7
542,4
543,4
544,8
545,4
546,2
547,8
548,4
549,4
550,8
551,0
552,2
553,3
554,3
555,0
556,6
557,4
558,7
559,0
560,9
561,8
562,3
563,7
564,4
565,9
566,2
567,7
568,4
569,4
570,1
571,2
572,7
573,7
574,5
575,2
576,3
577,7
578,2
579,1
580,8
581,8
582,6
583,7
584,3
585,5
586,8
587,6
588,6
589,0
590,1
591,4
592,1
593,3
594,4
595,7
596,6
597,0
598,9
599,5
600,1
601,7
602,3
603,4
604,2
605,2
606,7
607,8
608,6
609,2
610,5
611,2
612,7
613,0
614,3
615,6
616,8
617,4
618,8
619,1
620,5
621,6
622,3
623,8
624,8
625,6
626,1
627,9
628,4
629,0
630,9
631,3
632,3
633,6
634,9
635,5
636,3
637,4
638,6
639,5
640,7
641,2
642,5
643,5
644,4
645,7
646,7
647,7
648,2
649,5
650,6
651,3
652,6
653,9
654,5
655,3
656,3
657,8
658,0
659,2
660,4
661,3
662,1
663,5
664,4
665,9
666,8
667,2
668,1
669,3
670,9
671,3
672,5
673,5
674,2
675,7
676,4
677,7
678,5
679,9
680,6
681,8
682,7
683,1
684,0
685,2
686,1
687,9
688,0
689,8
690,5
691,6
692,0
693,0
694,5
695,3
696,8
697,3
698,9
699,0
700,3
701,3
702,4
703,5
704,9
705,9
706,6
707,0
708,6
709,3
710,2
711,9
712,7
713,6
714,3
715,5
716,0
717,3
718,5
719,7
720,8
721,4
722,3
723,0
724,5
725,0
726,7
727,1
728,4
729,2
730,8
731,3
732,1
733,2
734,5
735,5
736,4
737,3
738,8
739,0
740,9
741,4
742,8
743,9
744,9
745,4
746,3
747,6
748,4
749,8
750,4
751,8
752,0
753,2
754,4
755,7
756,5
757,5
758,5
759,6
760,2
761,1
762,9
763,8
764,0
765,2
766,4
767,7
768,9
769,8
770,0
771,3
772,9
773,9
774,5
775,6
776,3
777,7
778,2
779,6
780,0
781,8
782,3
783,6
784,5
785,2
786,9
787,6
788,8
789,1
790,3
791,9
792,8
793,8
794,5
795,6
796,6
797,6
798,4
799,6
800,6
801,9
802,1
803,2
804,4
805,0
806,6
807,6
808,6
809,8
810,4
811,3
812,2
813,9
814,6
815,3
816,3
817,0
818,8
819,9
820,4
821,7
822,4
823,3
824,6
825,3
826,2
827,3
828,7
829,7
830,6
831,4
832,3
833,2
834,1
835,6
836,7
837,4
838,0
839,4
840,6
841,4
842,7
843,6
844,5
845,3
846,2
847,7
848,4
849,8
850,2
851,2
852,5
853,4
854,0
855,4
856,4
857,1
858,7
859,6
860,8
861,1
862,9
863,9
864,2
865,7
866,7
867,5
868,3
869,3
870,0
871,2
872,9
873,6
874,6
875,4
876,5
877,2
878,1
879,3
880,5
881,0
882,5
883,3
884,7
885,5
886,0
887,7
888,3
889,8
890,2
891,0
892,6
893,6
894,9
895,7
896,0
897,8
898,9
899,3
900,3
901,8
902,5
903,0
904,9
905,4
906,9
907,7
908,1
909,5
910,2
911,8
912,5
913,2
914,0
915,3
916,9
917,5
918,3
919,0
920,2
921,3
922,8
923,2
924,2
925,1
926,5
927,5
928,0
929,3
930,6
931,8
932,3
933,2
934,6
935,0
936,9
937,5
938,5
939,0
940,6
941,4
942,8
943,4
944,1
945,7
946,6
947,3
948,9
949,6
950,8
951,2
952,6
953,4
954,5
955,8
956,2
957,6
958,5
959,2
960,0
961,3
962,3
963,8
964,8
965,8
966,5
967,0
968,0
969,4
970,2
971,3
972,1
973,5
974,1
975,9
976,4
977,0
978,3
979,6
980,4
981,8
982,9
983,9
984,4
985,4
986,8
987,9
988,8
989,4
990,4
991,3
992,7
993,9
994,8
995,3
996,3
997,9
998,8
999,0
1000,4
1001,0
1002,2
1003,4
1004,7
1005,1
1006,3
1007,2
1008,6
1009,4
1010,2
1011,1
1012,3
1013,6
1014,3
1015,6
1016,6
1017,0
1018,1
1019,8
1020,3
1021,6
1022,6
1023,4
1024,3
1025,8
1026,8
1027,8
1028,2
1029,6
1030,8
1031,0
1032,9
1033,1
1034,5
1035,4
1036,3
1037,9
1038,5
1039,0
1040,7
1041,4
1042,5
1043,8
1044,3
1045,4
1046,5
1047,2
1048,7
1049,4
1050,2
1051,8
1052,4
1053,3
1054,4
1055,7
1056,4
1057,3
1058,7
1059,9
1060,4
1061,8
1062,9
1063,4
1064,3
1065,9
1066,7
1067,2
1068,4
1069,0
1070,2
1071,2
1072,6
1073,6
1074,7
1075,3
1076,2
1077,1
1078,6
1079,0
1080,6
1081,1
1082,7
1083,9
1084,7
1085,7
1086,6
1087,3
1088,8
1089,5
