,0
0,5
1,4
2,0
3,1
4,3
5,4
6,9
7,7
8,6
9,8
10,7
11,2
12,2
13,4
14,1
15,0
16,0
17,7
18,4
19,5
20,8
21,7
22,0
23,8
24,6
25,9
26,4
27,5
28,5
29,8
30,3
31,4
32,1
33,7
34,8
35,3
36,3
37,1
38,0
39,5
40,4
41,9
42,7
43,9
44,9
45,8
46,6
47,0
48,1
49,8
50,2
51,8
52,4
53,8
54,9
55,4
56,3
57,7
58,0
59,0
60,9
61,4
62,3
63,4
64,8
65,5
66,2
67,9
68,8
69,7
70,0
71,7
72,8
73,6
74,8
75,7
76,4
77,8
78,4
79,7
80,3
81,1
82,9
83,0
84,0
85,7
86,1
87,9
88,1
89,5
90,5
91,9
92,8
93,2
94,5
95,7
96,5
97,9
98,7
99,8
100,0
101,3
102,3
103,5
104,7
105,8
106,9
107,3
108,9
109,0
110,5
111,1
112,8
113,7
114,7
115,1
116,8
117,2
118,0
119,4
120,2
121,6
122,5
123,2
124,4
125,9
126,9
127,1
128,8
129,4
130,4
131,7
132,9
133,5
134,2
135,3
136,8
137,8
138,6
139,1
140,6
141,5
142,1
143,4
144,4
145,0
146,3
147,6
148,7
149,2
150,4
151,7
152,2
153,0
154,8
155,7
156,0
157,1
158,4
159,3
160,9
161,0
162,7
163,2
164,1
165,8
166,1
167,1
168,5
169,6
170,9
171,2
172,5
173,6
174,6
175,0
176,8
177,0
178,1
179,5
180,6
181,0
182,5
183,4
184,6
185,9
186,2
187,9
188,5
189,3
190,2
191,7
192,1
193,5
194,1
195,5
196,6
197,7
198,9
199,9
200,4
201,3
202,2
203,7
204,9
205,0
206,7
207,8
208,7
209,3
210,7
211,3
212,7
213,8
214,1
215,8
216,8
217,0
218,4
219,0
220,4
221,7
222,3
223,7
224,4
225,8
226,5
227,9
228,8
229,5
230,3
231,0
232,1
233,3
234,3
235,8
236,1
237,4
238,2
239,7
240,9
241,0
242,1
243,8
244,4
245,5
246,1
247,4
248,9
249,6
250,0
251,0
252,4
253,8
254,0
255,9
256,3
257,8
258,3
259,7
260,0
261,9
262,6
263,7
264,1
265,5
266,6
267,9
268,9
269,4
270,7
271,8
272,1
273,6
274,9
275,2
276,3
277,7
278,4
279,6
280,7
281,7
282,5
283,3
284,8
285,7
286,6
287,4
288,5
289,0
290,8
291,0
292,0
293,2
294,6
295,3
296,9
297,1
298,8
299,8
300,7
301,0
302,4
303,6
304,7
305,0
306,5
307,2
308,8
309,3
310,0
311,2
312,9
313,7
314,6
315,7
316,8
317,1
318,8
319,6
320,3
321,4
322,0
323,2
324,0
325,3
326,7
327,6
328,6
329,2
330,2
331,3
332,5
333,2
334,4
335,4
336,3
337,0
338,2
339,9
340,7
341,9
342,0
343,3
344,3
345,2
346,7
347,7
348,0
349,7
350,6
351,5
352,7
353,2
354,8
355,1
356,2
357,1
358,0
359,1
360,2
361,0
362,2
363,0
364,9
365,9
366,5
367,7
368,6
369,0
370,1
371,2
372,6
373,6
374,0
375,0
376,7
377,2
378,6
379,1
380,4
381,3
382,5
383,6
384,2
385,6
386,0
387,2
388,0
389,3
390,2
391,7
392,4
393,9
394,5
395,4
396,2
397,6
398,0
399,6
400,6
401,7
402,7
403,1
404,2
405,5
406,3
407,1
408,9
409,8
410,4
411,1
412,1
413,9
414,5
415,4
416,3
417,7
418,4
419,6
420,0
421,4
422,2
423,6
424,6
425,8
426,3
427,6
428,1
429,2
430,9
431,3
432,2
433,2
434,6
435,4
436,9
437,4
438,7
439,8
440,0
441,0
442,9
443,1
444,3
445,6
446,3
447,5
448,9
449,7
450,3
451,2
452,0
453,3
454,2
455,5
456,9
457,1
458,4
459,4
460,5
461,3
462,0
463,2
464,5
465,6
466,0
467,1
468,8
469,6
470,9
471,7
472,5
473,8
474,2
475,1
476,7
477,9
478,4
479,6
480,3
481,7
482,6
483,2
484,8
485,7
486,3
487,0
488,3
489,7
490,6
491,3
492,2
493,6
494,9
495,0
496,1
497,0
498,5
499,8
500,4
501,7
502,0
503,6
504,6
505,9
506,7
507,4
508,4
509,3
510,3
511,9
512,0
513,9
514,4
515,8
516,2
517,5
518,1
519,9
520,4
521,5
522,8
523,0
524,8
525,6
526,9
527,7
528,6
529,6
530,9
531,2
532,3
533,6
534,7
535,8
536,7
537,4
538,8
539,0
540,4
541,5
542,9
543,9
544,1
545,6
546,5
547,7
548,5
549,3
550,4
551,0
552,8
553,7
554,5
555,8
556,8
557,4
558,7
559,2
560,8
561,4
562,7
563,1
564,6
565,9
566,4
567,9
568,9
569,8
570,7
571,7
572,1
573,3
574,5
575,3
576,5
577,6
578,3
579,1
580,1
581,8
582,5
583,6
584,8
585,7
586,1
587,9
588,4
589,0
590,0
591,5
592,5
593,3
594,4
595,5
596,7
597,2
598,1
599,5
600,1
601,2
602,7
603,3
604,0
605,0
606,2
607,6
608,1
